sample_index,source_file,source_name,phase,frame_index,natoms,energy_eV,energy_eV_atom,volume_A3,volume_A3_atom,split
18,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,18,128,-572699.3746101755,-4474.213864141996,740.7719256362939,5.787280669033546,train
19,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,19,128,-572702.1772939542,-4474.235760109017,740.7719256362939,5.787280669033546,train
20,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,20,128,-572704.1872423018,-4474.2514628304825,740.7719256362939,5.787280669033546,train
21,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,21,128,-572705.035043782,-4474.258086279547,740.7719256362939,5.787280669033546,train
24,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,24,128,-572700.8801337134,-4474.225626044636,740.7719256362939,5.787280669033546,train
25,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,25,128,-572697.6955209889,-4474.200746257726,740.7719256362939,5.787280669033546,train
26,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,26,128,-572694.0803069925,-4474.172502398379,740.7719256362939,5.787280669033546,train
28,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,28,128,-572686.861583025,-4474.1161061173825,740.7719256362939,5.787280669033546,train
31,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,31,128,-572681.2028195173,-4474.071897027479,740.7719256362939,5.787280669033546,train
32,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,32,128,-572681.4987323197,-4474.0742088462475,740.7719256362939,5.787280669033546,train
34,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,34,128,-572685.6672509385,-4474.106775397957,740.7719256362939,5.787280669033546,train
35,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,35,128,-572689.2598209799,-4474.1348423514055,740.7719256362939,5.787280669033546,train
36,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,36,128,-572693.416500469,-4474.167316409914,740.7719256362939,5.787280669033546,train
38,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,38,128,-572701.9031754312,-4474.233618558056,740.7719256362939,5.787280669033546,train
42,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,42,128,-572710.6951264977,-4474.302305675763,740.7719256362939,5.787280669033546,train
43,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,43,128,-572710.035989856,-4474.29715617075,740.7719256362939,5.787280669033546,train
45,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,45,128,-572705.7288392937,-4474.263506556982,740.7719256362939,5.787280669033546,train
46,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,46,128,-572702.5474897586,-4474.238652263739,740.7719256362939,5.787280669033546,train
47,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,47,128,-572699.0478931319,-4474.211311665093,740.7719256362939,5.787280669033546,train
48,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,48,128,-572695.5411752854,-4474.183915431917,740.7719256362939,5.787280669033546,train
50,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,50,128,-572689.285349614,-4474.135041793859,740.7719256362939,5.787280669033546,train
51,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,51,128,-572687.0181399249,-4474.117329218163,740.7719256362939,5.787280669033546,train
52,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,52,128,-572685.5830551005,-4474.106117617973,740.7719256362939,5.787280669033546,train
54,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,54,128,-572685.3601425556,-4474.104376113715,740.7719256362939,5.787280669033546,train
55,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,55,128,-572686.5360138937,-4474.113562608544,740.7719256362939,5.787280669033546,train
56,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,56,128,-572688.4223409145,-4474.1282995383945,740.7719256362939,5.787280669033546,train
58,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,58,128,-572693.3369342401,-4474.1666947987505,740.7719256362939,5.787280669033546,train
59,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,59,128,-572695.8463462176,-4474.186299579825,740.7719256362939,5.787280669033546,train
60,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,60,128,-572698.0982511346,-4474.203892586989,740.7719256362939,5.787280669033546,train
61,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,61,128,-572699.8756736988,-4474.217778700772,740.7719256362939,5.787280669033546,train
62,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,62,128,-572701.1627104875,-4474.2278336756835,740.7719256362939,5.787280669033546,train
63,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,63,128,-572701.899387198,-4474.233588962485,740.7719256362939,5.787280669033546,train
65,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,65,128,-572701.8896300114,-4474.233512734464,740.7719256362939,5.787280669033546,train
66,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,66,128,-572701.200211315,-4474.228126650898,740.7719256362939,5.787280669033546,train
67,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,67,128,-572700.1811645008,-4474.220165347662,740.7719256362939,5.787280669033546,train
68,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,68,128,-572698.9718457435,-4474.210717544871,740.7719256362939,5.787280669033546,train
71,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,71,128,-572695.2094777416,-4474.181324044856,740.7719256362939,5.787280669033546,train
72,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,72,128,-572694.2175023109,-4474.173574236804,740.7719256362939,5.787280669033546,train
73,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,73,128,-572693.4240078182,-4474.16737506108,740.7719256362939,5.787280669033546,train
74,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,74,128,-572692.9759387414,-4474.163874521417,740.7719256362939,5.787280669033546,train
75,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,75,128,-572692.786708586,-4474.162396160828,740.7719256362939,5.787280669033546,train
77,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,77,128,-572693.2279291013,-4474.165843196104,740.7719256362939,5.787280669033546,train
78,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,78,128,-572693.815833001,-4474.170436195321,740.7719256362939,5.787280669033546,train
79,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,79,128,-572694.5690449823,-4474.176320663924,740.7719256362939,5.787280669033546,train
80,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,80,128,-572695.4482628241,-4474.183189553313,740.7719256362939,5.787280669033546,train
81,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,81,128,-572696.2892507093,-4474.189759771167,740.7719256362939,5.787280669033546,train
82,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,82,128,-572696.9981209208,-4474.195297819694,740.7719256362939,5.787280669033546,train
83,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,83,128,-572697.4590958138,-4474.198899186045,740.7719256362939,5.787280669033546,train
84,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,84,128,-572697.6912452638,-4474.200712853623,740.7719256362939,5.787280669033546,train
85,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,85,128,-572697.6806692865,-4474.200630228801,740.7719256362939,5.787280669033546,train
86,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,86,128,-572697.4690139559,-4474.1989766715305,740.7719256362939,5.787280669033546,train
87,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,87,128,-572697.0755543212,-4474.195902768134,740.7719256362939,5.787280669033546,train
88,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,88,128,-572696.5809456108,-4474.192038637584,740.7719256362939,5.787280669033546,train
89,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,89,128,-572696.0069416952,-4474.187554231994,740.7719256362939,5.787280669033546,train
90,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,90,128,-572695.4830950309,-4474.183461679929,740.7719256362939,5.787280669033546,train
91,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,91,128,-572694.9664470026,-4474.179425367208,740.7719256362939,5.787280669033546,train
93,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,93,128,-572694.0924556518,-4474.17259730978,740.7719256362939,5.787280669033546,train
94,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,94,128,-572693.848340131,-4474.170690157273,740.7719256362939,5.787280669033546,train
95,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,95,128,-572693.7492232015,-4474.169915806262,740.7719256362939,5.787280669033546,train
96,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,96,128,-572693.8202379802,-4474.1704706092205,740.7719256362939,5.787280669033546,train
97,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,97,128,-572694.009801611,-4474.171951575086,740.7719256362939,5.787280669033546,train
99,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,99,128,-572694.7325448673,-4474.177598006776,740.7719256362939,5.787280669033546,train
100,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,100,128,-572695.2387653564,-4474.181552854347,740.7719256362939,5.787280669033546,train
101,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,101,128,-572695.7829177012,-4474.18580404454,740.7719256362939,5.787280669033546,train
102,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,102,128,-572696.3236452211,-4474.19002847829,740.7719256362939,5.787280669033546,train
103,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,103,128,-572696.7089145005,-4474.1930383945355,740.7719256362939,5.787280669033546,train
105,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,105,128,-572696.7026316636,-4474.192989309872,740.7719256362939,5.787280669033546,train
106,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,106,128,-572696.2580602024,-4474.189516095331,740.7719256362939,5.787280669033546,train
108,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,108,128,-572694.5331292182,-4474.176040072017,740.7719256362939,5.787280669033546,train
110,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,110,128,-572692.0025073261,-4474.156269588485,740.7719256362939,5.787280669033546,train
111,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,111,128,-572690.5325463485,-4474.144785518348,740.7719256362939,5.787280669033546,train
112,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,112,128,-572689.0130228247,-4474.132914240818,740.7719256362939,5.787280669033546,train
114,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,114,128,-572686.4100639526,-4474.112578624629,740.7719256362939,5.787280669033546,train
115,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,115,128,-572685.5186669747,-4474.10561458574,740.7719256362939,5.787280669033546,train
116,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,116,128,-572685.013778211,-4474.101670142273,740.7719256362939,5.787280669033546,train
120,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,120,128,-572686.6782448151,-4474.114673787618,740.7719256362939,5.787280669033546,train
122,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,122,128,-572688.911761502,-4474.132123136735,740.7719256362939,5.787280669033546,train
123,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,123,128,-572689.9401830469,-4474.140157680054,740.7719256362939,5.787280669033546,train
125,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,125,128,-572691.2991693254,-4474.150774760355,740.7719256362939,5.787280669033546,train
126,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,126,128,-572691.5260702431,-4474.152547423774,740.7719256362939,5.787280669033546,train
127,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,127,128,-572691.3287357207,-4474.151005747818,740.7719256362939,5.787280669033546,train
128,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,128,128,-572690.808774298,-4474.146943549204,740.7719256362939,5.787280669033546,train
129,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,129,128,-572689.9276588704,-4474.140059834925,740.7719256362939,5.787280669033546,train
130,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,130,128,-572688.7665256271,-4474.130988481462,740.7719256362939,5.787280669033546,train
131,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,131,128,-572687.3103062635,-4474.119611767684,740.7719256362939,5.787280669033546,train
133,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,133,128,-572683.847849097,-4474.09256132107,740.7719256362939,5.787280669033546,train
136,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,136,128,-572679.1956969361,-4474.056216382313,740.7719256362939,5.787280669033546,train
139,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,139,128,-572678.3910286321,-4474.049929911188,740.7719256362939,5.787280669033546,train
140,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,140,128,-572678.9932586462,-4474.054634833174,740.7719256362939,5.787280669033546,train
142,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,142,128,-572681.0425435014,-4474.070644871104,740.7719256362939,5.787280669033546,train
143,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,143,128,-572682.3339478537,-4474.080733967607,740.7719256362939,5.787280669033546,train
146,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,146,128,-572686.2551847708,-4474.111368631022,740.7719256362939,5.787280669033546,train
147,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,147,128,-572687.4011200466,-4474.120321250364,740.7719256362939,5.787280669033546,train
150,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,150,128,-572689.8793288637,-4474.139682256748,740.7719256362939,5.787280669033546,train
151,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,151,128,-572690.3089170556,-4474.143038414497,740.7719256362939,5.787280669033546,train
152,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,152,128,-572690.5121071961,-4474.14462583747,740.7719256362939,5.787280669033546,train
153,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,153,128,-572690.4719328501,-4474.144311975391,740.7719256362939,5.787280669033546,train
154,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,154,128,-572690.27030682,-4474.142736772032,740.7719256362939,5.787280669033546,train
155,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,155,128,-572689.8825972233,-4474.139707790807,740.7719256362939,5.787280669033546,train
157,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,157,128,-572688.8505756122,-4474.13164512197,740.7719256362939,5.787280669033546,train
158,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,158,128,-572688.3220755286,-4474.127516215067,740.7719256362939,5.787280669033546,train
159,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,159,128,-572687.8632557774,-4474.123931685761,740.7719256362939,5.787280669033546,train
160,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,160,128,-572687.5166922454,-4474.121224158167,740.7719256362939,5.787280669033546,train
161,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,161,128,-572687.2804555092,-4474.119378558666,740.7719256362939,5.787280669033546,train
162,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,162,128,-572687.2418386068,-4474.119076864115,740.7719256362939,5.787280669033546,train
163,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,163,128,-572687.4039180573,-4474.120343109823,740.7719256362939,5.787280669033546,train
164,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,164,128,-572687.8141116061,-4474.123547746923,740.7719256362939,5.787280669033546,train
165,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,165,128,-572688.4645037326,-4474.128628935411,740.7719256362939,5.787280669033546,train
166,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,166,128,-572689.4124144055,-4474.136034487543,740.7719256362939,5.787280669033546,train
167,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,167,128,-572690.5657590696,-4474.1450449927315,740.7719256362939,5.787280669033546,train
168,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,168,128,-572691.891334256,-4474.155401048875,740.7719256362939,5.787280669033546,train
170,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,170,128,-572694.6041873989,-4474.176595214054,740.7719256362939,5.787280669033546,train
171,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,171,128,-572695.7157989128,-4474.185279679006,740.7719256362939,5.787280669033546,train
172,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,172,128,-572696.5689136883,-4474.19194463819,740.7719256362939,5.787280669033546,train
173,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,173,128,-572697.0419530214,-4474.19564025798,740.7719256362939,5.787280669033546,train
174,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,174,128,-572697.1100236641,-4474.196172059876,740.7719256362939,5.787280669033546,train
176,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,176,128,-572695.7287830977,-4474.185381117951,740.7719256362939,5.787280669033546,train
177,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,177,128,-572694.4109007063,-4474.175085161768,740.7719256362939,5.787280669033546,train
178,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,178,128,-572692.9034300577,-4474.163308047326,740.7719256362939,5.787280669033546,train
180,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,180,128,-572689.3582219777,-4474.135611109201,740.7719256362939,5.787280669033546,train
181,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,181,128,-572687.5488550152,-4474.121475429806,740.7719256362939,5.787280669033546,train
183,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,183,128,-572684.7134480482,-4474.099323812877,740.7719256362939,5.787280669033546,train
184,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,184,128,-572683.7317035544,-4474.091653934019,740.7719256362939,5.787280669033546,train
185,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,185,128,-572683.1058765065,-4474.086764660207,740.7719256362939,5.787280669033546,train
186,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,186,128,-572682.8480601889,-4474.084750470226,740.7719256362939,5.787280669033546,train
187,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,187,128,-572682.855937613,-4474.084812012602,740.7719256362939,5.787280669033546,train
190,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,190,128,-572684.1965355253,-4474.095285433791,740.7719256362939,5.787280669033546,train
193,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,193,128,-572685.1364977523,-4474.10262888869,740.7719256362939,5.787280669033546,train
