sample_index,source_file,source_name,frame_index,phase,natoms,energy_eV,energy_eV_atom,volume_A3,volume_A3_atom,temperature_K,pressure_GPa,time_ps,split
43,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,43,fcc,128,-572710.035989856,-4474.29715617075,740.7719256362939,5.787280669033546,5565.06884765625,597.531982421875,0.04399999976158142,val
44,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,44,fcc,128,-572708.3198599865,-4474.283748906145,740.7719256362939,5.787280669033546,5415.58447265625,596.8910522460938,0.04500000178813934,train
45,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,45,fcc,128,-572705.7288392937,-4474.263506556982,740.7719256362939,5.787280669033546,5181.9814453125,600.0580444335938,0.04600000008940697,train
46,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,46,fcc,128,-572702.5474897586,-4474.238652263739,740.7719256362939,5.787280669033546,4932.06884765625,600.8109741210938,0.04699999839067459,train
47,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,47,fcc,128,-572699.0478931319,-4474.211311665093,740.7719256362939,5.787280669033546,4626.03466796875,602.31201171875,0.04800000041723251,train
48,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,48,fcc,128,-572695.5411752854,-4474.183915431917,740.7719256362939,5.787280669033546,4396.02490234375,603.375,0.04899999871850014,train
49,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,49,fcc,128,-572692.1618461818,-4474.157514423296,740.7719256362939,5.787280669033546,4290.48291015625,605.4249877929688,0.05000000074505806,train
50,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,50,fcc,128,-572689.285349614,-4474.135041793859,740.7719256362939,5.787280669033546,4019.048095703125,606.0650024414062,0.050999999046325684,train
51,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,51,fcc,128,-572687.0181399249,-4474.117329218163,740.7719256362939,5.787280669033546,3945.5234375,607.4830322265625,0.052000001072883606,test
52,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,52,fcc,128,-572685.5830551005,-4474.106117617973,740.7719256362939,5.787280669033546,3834.17724609375,608.083984375,0.05299999937415123,val
53,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,53,fcc,128,-572685.0159947143,-4474.101687458706,740.7719256362939,5.787280669033546,3807.13427734375,608.3070068359375,0.05400000140070915,train
54,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,54,fcc,128,-572685.3601425556,-4474.104376113715,740.7719256362939,5.787280669033546,3791.40966796875,607.7080078125,0.054999999701976776,train
55,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,55,fcc,128,-572686.5360138937,-4474.113562608544,740.7719256362939,5.787280669033546,3753.94287109375,607.6100463867188,0.0560000017285347,train
56,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,56,fcc,128,-572688.4223409145,-4474.1282995383945,740.7719256362939,5.787280669033546,3925.84521484375,606.1580200195312,0.05700000002980232,train
57,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,57,fcc,128,-572690.7660075233,-4474.146609433776,740.7719256362939,5.787280669033546,4064.68701171875,605.8529663085938,0.057999998331069946,test
58,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,58,fcc,128,-572693.3369342401,-4474.1666947987505,740.7719256362939,5.787280669033546,4292.125,603.9609985351562,0.05900000035762787,train
59,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,59,fcc,128,-572695.8463462176,-4474.186299579825,740.7719256362939,5.787280669033546,4485.68896484375,603.9030151367188,0.05999999865889549,train
60,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,60,fcc,128,-572698.0982511346,-4474.203892586989,740.7719256362939,5.787280669033546,4717.80419921875,602.010009765625,0.061000000685453415,train
61,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,61,fcc,128,-572699.8756736988,-4474.217778700772,740.7719256362939,5.787280669033546,4628.60693359375,601.927978515625,0.06199999898672104,train
62,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,62,fcc,128,-572701.1627104875,-4474.2278336756835,740.7719256362939,5.787280669033546,4704.556640625,599.7279663085938,0.06300000101327896,test
63,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,63,fcc,128,-572701.899387198,-4474.233588962485,740.7719256362939,5.787280669033546,4675.6474609375,600.677001953125,0.06400000303983688,train
64,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,64,fcc,128,-572702.1553388556,-4474.235588584809,740.7719256362939,5.787280669033546,4688.6201171875,598.3740234375,0.06499999761581421,train
65,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,65,fcc,128,-572701.8896300114,-4474.233512734464,740.7719256362939,5.787280669033546,4700.8154296875,600.9240112304688,0.06599999964237213,val
66,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,66,fcc,128,-572701.200211315,-4474.228126650898,740.7719256362939,5.787280669033546,4608.70458984375,602.0800170898438,0.06700000166893005,test
67,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,67,fcc,128,-572700.1811645008,-4474.220165347662,740.7719256362939,5.787280669033546,4446.77001953125,601.3400268554688,0.06800000369548798,train
68,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,68,fcc,128,-572698.9718457435,-4474.210717544871,740.7719256362939,5.787280669033546,4398.5810546875,602.8710327148438,0.0689999982714653,train
69,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,69,fcc,128,-572697.6716333376,-4474.20055963545,740.7719256362939,5.787280669033546,4223.10546875,601.1549682617188,0.07000000029802322,train
70,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,70,fcc,128,-572696.383483195,-4474.190495962461,740.7719256362939,5.787280669033546,4219.7265625,603.5299682617188,0.07100000232458115,train
71,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,71,fcc,128,-572695.2094777416,-4474.181324044856,740.7719256362939,5.787280669033546,4112.037109375,602.8970336914062,0.07199999690055847,val
72,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,72,fcc,128,-572694.2175023109,-4474.173574236804,740.7719256362939,5.787280669033546,4172.65869140625,603.5509643554688,0.0729999989271164,train
73,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,73,fcc,128,-572693.4240078182,-4474.16737506108,740.7719256362939,5.787280669033546,4192.52880859375,604.1240234375,0.07400000095367432,train
74,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,74,fcc,128,-572692.9759387414,-4474.163874521417,740.7719256362939,5.787280669033546,3981.948486328125,604.4500122070312,0.07500000298023224,train
75,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,75,fcc,128,-572692.786708586,-4474.162396160828,740.7719256362939,5.787280669033546,4184.318359375,604.8450317382812,0.07599999755620956,train
76,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,76,fcc,128,-572692.8831472348,-4474.163149587772,740.7719256362939,5.787280669033546,4169.83740234375,604.9030151367188,0.07699999958276749,train
77,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,77,fcc,128,-572693.2279291013,-4474.165843196104,740.7719256362939,5.787280669033546,4098.724609375,604.4840087890625,0.07800000160932541,train
78,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,78,fcc,128,-572693.815833001,-4474.170436195321,740.7719256362939,5.787280669033546,4138.2421875,603.8900146484375,0.07900000363588333,train
79,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,79,fcc,128,-572694.5690449823,-4474.176320663924,740.7719256362939,5.787280669033546,4105.00048828125,603.9550170898438,0.07999999821186066,train
80,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,80,fcc,128,-572695.4482628241,-4474.183189553313,740.7719256362939,5.787280669033546,4238.6435546875,603.2310180664062,0.08100000023841858,train
81,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,81,fcc,128,-572696.2892507093,-4474.189759771167,740.7719256362939,5.787280669033546,4419.80810546875,603.3160400390625,0.0820000022649765,train
82,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,82,fcc,128,-572696.9981209208,-4474.195297819694,740.7719256362939,5.787280669033546,4578.15185546875,602.416015625,0.08299999684095383,train
83,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,83,fcc,128,-572697.4590958138,-4474.198899186045,740.7719256362939,5.787280669033546,4676.53662109375,603.031005859375,0.08399999886751175,train
84,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,84,fcc,128,-572697.6912452638,-4474.200712853623,740.7719256362939,5.787280669033546,4612.82861328125,602.0950317382812,0.08500000089406967,train
85,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,85,fcc,128,-572697.6806692865,-4474.200630228801,740.7719256362939,5.787280669033546,4634.056640625,603.1630249023438,0.0860000029206276,train
86,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,86,fcc,128,-572697.4690139559,-4474.1989766715305,740.7719256362939,5.787280669033546,4724.392578125,601.3390502929688,0.08699999749660492,train
87,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,87,fcc,128,-572697.0755543212,-4474.195902768134,740.7719256362939,5.787280669033546,4698.93603515625,603.7880249023438,0.08799999952316284,train
88,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,88,fcc,128,-572696.5809456108,-4474.192038637584,740.7719256362939,5.787280669033546,4753.74267578125,602.1080322265625,0.08900000154972076,train
89,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,89,fcc,128,-572696.0069416952,-4474.187554231994,740.7719256362939,5.787280669033546,4772.8154296875,604.4390258789062,0.09000000357627869,train
90,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,90,fcc,128,-572695.4830950309,-4474.183461679929,740.7719256362939,5.787280669033546,4688.70751953125,603.4340209960938,0.09099999815225601,train
91,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,91,fcc,128,-572694.9664470026,-4474.179425367208,740.7719256362939,5.787280669033546,4835.3056640625,604.7529907226562,0.09200000017881393,train
92,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,92,fcc,128,-572694.501964834,-4474.175796600266,740.7719256362939,5.787280669033546,4897.79296875,603.6950073242188,0.09300000220537186,train
93,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,93,fcc,128,-572694.0924556518,-4474.17259730978,740.7719256362939,5.787280669033546,4882.61279296875,605.7330322265625,0.09399999678134918,train
94,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,94,fcc,128,-572693.848340131,-4474.170690157273,740.7719256362939,5.787280669033546,4702.09814453125,603.8270263671875,0.0949999988079071,train
95,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,95,fcc,128,-572693.7492232015,-4474.169915806262,740.7719256362939,5.787280669033546,4694.41845703125,605.6410522460938,0.09600000083446503,train
96,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,96,fcc,128,-572693.8202379802,-4474.1704706092205,740.7719256362939,5.787280669033546,4649.7412109375,603.6580200195312,0.09700000286102295,train
97,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,97,fcc,128,-572694.009801611,-4474.171951575086,740.7719256362939,5.787280669033546,4659.9326171875,605.6200561523438,0.09799999743700027,train
98,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,98,fcc,128,-572694.3264492174,-4474.174425384511,740.7719256362939,5.787280669033546,4652.70166015625,602.968017578125,0.0989999994635582,train
99,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,99,fcc,128,-572694.7325448673,-4474.177598006776,740.7719256362939,5.787280669033546,4486.84765625,605.3629760742188,0.10000000149011612,train
100,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,100,fcc,128,-572695.2387653564,-4474.181552854347,740.7719256362939,5.787280669033546,4422.001953125,601.3910522460938,0.10100000351667404,train
101,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,101,fcc,128,-572695.7829177012,-4474.18580404454,740.7719256362939,5.787280669033546,4372.302734375,604.1549682617188,0.10199999809265137,train
102,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,102,fcc,128,-572696.3236452211,-4474.19002847829,740.7719256362939,5.787280669033546,4486.8046875,603.5330200195312,0.10300000011920929,train
103,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,103,fcc,128,-572696.7089145005,-4474.1930383945355,740.7719256362939,5.787280669033546,4545.2744140625,604.0750122070312,0.10400000214576721,train
104,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,104,fcc,128,-572696.8685468313,-4474.19428552212,740.7719256362939,5.787280669033546,4631.1279296875,602.7240600585938,0.10499999672174454,train
105,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,105,fcc,128,-572696.7026316636,-4474.192989309872,740.7719256362939,5.787280669033546,4680.150390625,603.2579956054688,0.10599999874830246,train
106,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,106,fcc,128,-572696.2580602024,-4474.189516095331,740.7719256362939,5.787280669033546,4573.26513671875,603.4730224609375,0.10700000077486038,train
107,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,107,fcc,128,-572695.5201095908,-4474.183750856178,740.7719256362939,5.787280669033546,4505.75244140625,603.2950439453125,0.1080000028014183,train
108,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,108,fcc,128,-572694.5331292182,-4474.176040072017,740.7719256362939,5.787280669033546,4484.09033203125,603.9310302734375,0.10899999737739563,train
109,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,109,fcc,128,-572693.3340551395,-4474.166672305777,740.7719256362939,5.787280669033546,4389.3779296875,604.0690307617188,0.10999999940395355,train
110,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,110,fcc,128,-572692.0025073261,-4474.156269588485,740.7719256362939,5.787280669033546,4399.3095703125,604.4819946289062,0.11100000143051147,test
